tf,sensor_log2_selectivity,tf_mrna_log10_ratio
FOXF2,1.96072,0.41095
RUVBL1,1.96051,0.14361
BHLHE41,1.96025,-0.53218
YY1,1.95903,0.14859
MAX,1.95705,0.13856
NR4A2,1.95572,0.11007
MXI1,1.95538,0.36623
SOX4,1.95505,-0.13172
ARNT,1.95428,0.03492
MTF1,1.95284,0.11672
E2F4,1.95106,0.14148
E2F1,1.94942,-0.14567
E2F2,1.9482,0.546
BHLHE41,1.94771,-0.53218
E2F2,1.94689,0.546
MAX,1.94669,0.13856
USF1,1.94461,-0.13268
NFE2,1.94418,0.59563
SOX15,1.943,-0.29176
BHLHE40,1.94219,0.12349
CREB3L1,1.94127,-0.29251
MAX,1.93753,0.13856
NFE2,1.93689,0.59563
E2F1,1.93656,-0.14567
MYC,1.93577,0.22497
MYC,1.93537,0.22497
IRF9,1.93467,0.07959
USF1,1.93281,-0.13268
MYC,1.93256,0.22497
MAX,1.93084,0.13856
BHLHE40,1.93031,0.12349
VAX1,1.93007,1.0607
E2F3,1.92932,0.35972
USF1,1.92932,-0.13268
E2F2,1.92915,0.546
TEAD3,1.929,-0.10294
MAX,1.92891,0.13856
MAX,1.92788,0.13856
MLX,1.9254,0.04225
NFE2,1.92291,0.59563
MYC,1.92236,0.22497
MTF1,1.9206,0.11672
TRIM28,1.91997,-0.01728
MTF1,1.91833,0.11672
MAX,1.91811,0.13856
PBX2,1.91801,0.47253
MAX,1.91737,0.13856
E2F2,1.91616,0.546
E2F8,1.91489,0.20928
CEBPD,1.91468,0.31811
HLF,1.91397,1.20049
MAX,1.91183,0.13856
USF1,1.91067,-0.13268
ATF4,1.91004,0.11374
MAX,1.90981,0.13856
MYC,1.90752,0.22497
E2F4,1.9065,0.14148
CREB3L1,1.90646,-0.29251
E2F1,1.90595,-0.14567
SOX2,1.90503,1.37658
HEY1,1.90423,1.16638
BHLHE41,1.90341,-0.53218
MAX,1.90253,0.13856
USF1,1.90194,-0.13268
USF1,1.90089,-0.13268
MYC,1.90088,0.22497
MAX,1.90078,0.13856
E2F1,1.90051,-0.14567
MYC,1.90011,0.22497
CXXC1,1.89752,-0.20636
JUND,1.8956,-0.03685
SOX8,1.89529,0.98528
SIRT6,1.89099,-0.01814
MYC,1.8903,0.22497
MLXIPL,1.88935,1.28556
CEBPB,1.88765,0.1585
DLX4,1.88759,1.70529
PKNOX1,1.88702,-0.01682
HOXC6,1.88667,-0.04045
FOS,1.88467,0.11477
CREB3L1,1.88457,-0.29251
BHLHE41,1.88444,-0.53218
TEAD4,1.88372,0.33182
MAFB,1.8822,0.64383
STAT1,1.88117,-0.01743
MAX,1.88053,0.13856
BHLHE40,1.87923,0.12349
EOMES,1.87859,1.4624
IRF2,1.87821,-0.18248
TFEB,1.87629,-0.41856
RXRA,1.87591,0.30198
HDX,1.87515,0.08585
NR2F6,1.87504,-0.07863
E2F1,1.87185,-0.14567
MTF1,1.87128,0.11672
MAX,1.87033,0.13856
HEY2,1.86957,1.09575
E2F3,1.86952,0.35972
USF1,1.86935,-0.13268
IRF2,1.86923,-0.18248
STAT2,1.86917,0.19114
USF1,1.86908,-0.13268
MAX,1.86881,0.13856
MYC,1.86695,0.22497
HEY1,1.8669,1.16638
HEY1,1.86486,1.16638
E2F8,1.86477,0.20928
MYC,1.86446,0.22497
JUND,1.86413,-0.03685
FOXJ3,1.86288,0.24609
USF1,1.86241,-0.13268
FOSL1,1.86078,0.12968
MYC,1.86076,0.22497
SOX2,1.85971,1.37658
BHLHE40,1.85926,0.12349
CREB3L1,1.85925,-0.29251
USF1,1.85913,-0.13268
MYC,1.8587,0.22497
RBBP5,1.85817,0.03327
MEIS1,1.8571,-0.46847
MYC,1.85641,0.22497
IRF1,1.85567,0.07358
MLXIPL,1.85525,1.28556
DDIT3,1.85468,0.31605
MAX,1.8546,0.13856
MYC,1.85043,0.22497
E2F4,1.84847,0.14148
TFE3,1.84626,-0.02572
IRF9,1.84401,0.07959
MYC,1.84382,0.22497
RXRB,1.84356,0.14875
BACH1,1.84321,-0.08588
IRF8,1.84242,0.31482
E2F2,1.84087,0.546
MYC,1.83952,0.22497
MNT,1.83885,0.05603
CREB3L1,1.83712,-0.29251
ARNT,1.83701,0.03492
MLXIPL,1.83461,1.28556
MYC,1.83302,0.22497
BHLHE41,1.83188,-0.53218
CEBPB,1.83075,0.1585
YY2,1.83011,-0.33904
E2F1,1.82926,-0.14567
ELK1,1.82785,-0.14318
BHLHE40,1.82738,0.12349
TCF7,1.8263,0.17771
E2F4,1.82615,0.14148
MYC,1.82548,0.22497
E2F4,1.82518,0.14148
BHLHE40,1.82483,0.12349
USF1,1.82436,-0.13268
E2F8,1.82374,0.20928
MAX,1.82254,0.13856
MXI1,1.82222,0.36623
E2F1,1.82084,-0.14567
FOS,1.81779,0.11477
MAX,1.81562,0.13856
IRF5,1.81527,0.56234
DBP,1.81461,-0.07406
BHLHE41,1.81442,-0.53218
E2F1,1.81424,-0.14567
USF1,1.81199,-0.13268
USF1,1.81102,-0.13268
MNT,1.81083,0.05603
MTF1,1.81048,0.11672
RARG,1.80999,-0.50335
E2F1,1.80867,-0.14567
